Date,QQQ
2014-08-04,87.34719848632812
2014-08-05,86.67823791503906
2014-08-06,86.61410522460938
2014-08-07,86.33917999267578
2014-08-08,86.96232604980469
2014-08-11,87.47547149658203
2014-08-12,87.4388198852539
2014-08-13,88.36434936523438
2014-08-14,88.822509765625
2014-08-15,89.25321960449219
2014-08-18,89.94046020507812
2014-08-19,90.44449615478516
2014-08-20,90.44449615478516
2014-08-21,90.6277847290039
2014-08-22,90.76519775390624
2014-08-25,91.08594512939452
2014-08-26,91.17755126953124
2014-08-27,91.1958999633789
2014-08-28,91.0950927734375
2014-08-29,91.4341278076172
2014-09-02,91.69988250732422
2014-09-03,91.15924835205078
2014-09-04,91.07675170898438
2014-09-05,91.53496551513672
2014-09-08,91.7090301513672
2014-09-09,90.94844818115234
2014-09-10,91.69988250732422
2014-09-11,91.62655639648438
2014-09-12,91.15924835205078
2014-09-15,90.2795181274414
2014-09-16,91.06756591796876
2014-09-17,91.2050552368164
2014-09-18,91.89232635498048
2014-09-19,91.83537292480467
2014-09-22,90.98111724853516
2014-09-23,90.7331085205078
2014-09-24,91.70677185058594
2014-09-25,89.77782440185547
2014-09-26,90.7331085205078
2014-09-29,90.61370086669922
2014-09-30,90.7422866821289
2014-10-01,89.29103088378906
2014-10-02,89.29103088378906
2014-10-03,90.17279052734376
2014-10-06,89.97989654541016
2014-10-07,88.70313262939453
2014-10-08,90.43000030517578
2014-10-09,88.96952056884766
2014-10-10,86.74665832519531
2014-10-13,85.38721466064453
2014-10-14,85.39642333984375
2014-10-15,84.84528350830078
2014-10-16,84.31255340576172
2014-10-17,85.4239730834961
2014-10-20,86.70075988769531
2014-10-21,88.97872161865234
2014-10-22,88.51944732666016
2014-10-23,89.851318359375
2014-10-24,90.58614349365234
2014-10-27,90.65045166015624
2014-10-28,92.01908111572266
2014-10-29,91.67920684814452
2014-10-30,91.8720932006836
2014-10-31,93.1396713256836
2014-11-03,93.41522979736328
2014-11-04,93.10295104980467
2014-11-05,93.11212158203124
2014-11-06,93.40604400634766
2014-11-07,93.3233871459961
2014-11-10,93.65406036376952
2014-11-11,93.94801330566406
2014-11-12,94.1133041381836
2014-11-13,94.51749420166016
2014-11-14,94.81141662597656
2014-11-17,94.52667999267578
2014-11-18,95.23395538330078
2014-11-19,94.8022232055664
2014-11-20,95.22476196289062
2014-11-21,95.40846252441406
2014-11-24,96.15247344970705
2014-11-25,96.2994613647461
2014-11-26,96.924072265625
2014-11-28,97.37416076660156
2014-12-01,96.27190399169922
2014-12-02,96.6576919555664
2014-12-03,96.83219909667967
2014-12-04,96.78630065917967
2014-12-05,96.7954559326172
2014-12-08,96.1065444946289
2014-12-09,96.40966796875
2014-12-10,94.8940887451172
2014-12-11,95.34416198730467
2014-12-12,94.30622863769533
2014-12-15,93.33258056640624
2014-12-16,91.83537292480467
2014-12-17,93.5071029663086
2014-12-18,95.75751495361328
2014-12-19,96.17886352539062
2014-12-22,96.41858673095705
2014-12-23,96.07743072509766
2014-12-24,96.16043090820312
2014-12-26,96.84264373779295
2014-12-29,96.82421112060548
2014-12-30,96.17886352539062
2014-12-31,95.1923599243164
2015-01-02,94.90655517578124
2015-01-05,93.51438903808594
2015-01-06,92.2605438232422
2015-01-07,93.44985961914062
2015-01-08,95.23847198486328
2015-01-09,94.61154174804688
2015-01-12,93.62501525878906
2015-01-13,93.59737396240234
2015-01-14,93.08106231689452
2015-01-15,91.87332153320312
2015-01-16,92.9520034790039
2015-01-20,93.68955993652344
2015-01-21,94.1689910888672
2015-01-22,95.91149139404295
2015-01-23,96.12354278564452
2015-01-26,96.01293182373048
2015-01-27,93.52362060546876
2015-01-28,93.04420471191406
2015-01-29,93.93849182128906
2015-01-30,93.21017456054688
2015-02-02,94.02146911621094
2015-02-03,94.92501831054688
2015-02-04,94.84202575683594
2015-02-05,95.66254425048828
2015-02-06,95.08172607421876
2015-02-09,94.7774658203125
2015-02-10,96.25262451171876
2015-02-11,96.60298919677734
2015-02-12,97.72776794433594
2015-02-13,98.5667495727539
2015-02-17,98.65894317626952
2015-02-18,98.79722595214844
2015-02-19,99.28585815429688
2015-02-20,99.9496841430664
2015-02-23,100.05110931396484
2015-02-24,100.1248550415039
2015-02-25,99.87592315673828
2015-02-26,100.38298797607422
2015-02-27,99.9404525756836
2015-03-02,100.84397888183594
2015-03-03,100.373779296875
2015-03-04,99.98653411865234
2015-03-05,100.1617202758789
2015-03-06,99.02771759033205
2015-03-09,99.31352996826172
2015-03-10,97.4696044921875
2015-03-11,96.90719604492188
2015-03-12,97.54337310791016
2015-03-13,97.11924743652344
2015-03-16,98.3731460571289
2015-03-17,98.52987670898438
2015-03-18,99.49791717529295
2015-03-19,99.64543151855467
2015-03-20,100.29041290283205
2015-03-23,100.09635925292967
2015-03-24,99.73596954345705
2015-03-25,97.45348358154295
2015-03-26,97.1208267211914
2015-03-27,97.50894927978516
2015-03-30,98.62708282470705
2015-03-31,97.5828857421875
2015-04-01,97.07464599609376
2015-04-02,97.13935089111328
2015-04-06,97.93402099609376
2015-04-07,97.76768493652344
2015-04-08,98.54393005371094
2015-04-09,99.1630630493164
2015-04-10,99.56965637207033
2015-04-13,99.32015228271484
2015-04-14,99.03368377685548
2015-04-15,99.65280151367188
2015-04-16,99.51422119140624
2015-04-17,97.96176147460938
2015-04-20,99.43104553222656
2015-04-21,99.8561019897461
2015-04-22,100.40131378173828
2015-04-23,100.78016662597656
2015-04-24,102.14783477783205
2015-04-27,101.88910675048828
2015-04-28,101.68579864501952
2015-04-29,101.04817199707033
2015-04-30,99.45874786376952
2015-05-01,100.77096557617188
2015-05-04,100.93731689453124
2015-05-05,99.29241943359376
2015-05-06,98.6086196899414
2015-05-07,99.20001220703124
2015-05-08,100.43829345703124
2015-05-11,100.0501708984375
2015-05-12,99.5973663330078
2015-05-13,99.8006820678711
2015-05-14,101.2607192993164
2015-05-15,101.2607192993164
2015-05-18,101.70426940917967
2015-05-19,101.59339141845705
2015-05-20,101.65809631347656
2015-05-21,102.18482208251952
2015-05-22,102.08314514160156
2015-05-26,100.90957641601562
2015-05-27,102.5359344482422
2015-05-28,102.30491638183594
2015-05-29,101.69503784179688
2015-06-01,102.03695678710938
2015-06-02,101.71351623535156
2015-06-03,102.0184326171875
2015-06-04,101.24220275878906
2015-06-05,101.0019760131836
2015-06-08,99.97624969482422
2015-06-09,99.8099136352539
2015-06-10,101.17758178710938
2015-06-11,101.32540893554688
2015-06-12,100.49372863769533
2015-06-15,99.99472045898438
2015-06-16,100.5399398803711
2015-06-17,100.8171615600586
2015-06-18,102.28644561767578
2015-06-19,101.78076171875
2015-06-22,102.53094482421876
2015-06-23,102.61432647705078
2015-06-24,102.08638763427734
2015-06-25,101.8826141357422
2015-06-26,101.20648956298828
2015-06-29,98.81687927246094
2015-06-30,99.16883087158205
2015-07-01,99.95611572265624
2015-07-02,99.98390197753906
2015-07-06,99.75235748291016
2015-07-07,100.00241088867188
2015-07-08,98.26116180419922
2015-07-09,98.20558166503906
2015-07-10,99.7060089111328
2015-07-13,101.45655059814452
2015-07-14,102.12345886230467
2015-07-15,102.23456573486328
2015-07-16,103.67945861816406
2015-07-17,105.20770263671876
2015-07-20,105.56891632080078
2015-07-21,105.50408172607422
2015-07-22,104.30927276611328
2015-07-23,103.92025756835938
2015-07-24,102.90144348144533
2015-07-27,102.0493621826172
2015-07-28,102.9292449951172
2015-07-29,103.31824493408205
2015-07-30,103.80914306640624
2015-07-31,103.688720703125
2015-08-03,103.3645477294922
2015-08-04,103.1700668334961
2015-08-05,103.96659088134766
2015-08-06,102.29938507080078
2015-08-07,102.16973114013672
2015-08-10,103.33679962158205
2015-08-11,102.01229095458984
2015-08-12,102.36421966552734
2015-08-13,102.1975326538086
2015-08-14,102.35498809814452
2015-08-17,103.20709228515624
2015-08-18,102.6791534423828
2015-08-19,102.0030517578125
2015-08-20,99.1781234741211
2015-08-21,94.84346771240234
2015-08-24,91.1942138671875
2015-08-25,90.85150909423828
2015-08-26,95.42694854736328
2015-08-27,97.84434509277344
2015-08-28,97.82585906982422
2015-08-31,96.61251068115234
2015-09-01,93.59309387207033
2015-09-02,96.2327880859375
2015-09-03,95.76040649414062
2015-09-04,94.62117004394533
2015-09-08,97.28864288330078
2015-09-09,96.19572448730467
2015-09-10,97.2423095703125
2015-09-11,97.77951049804688
2015-09-14,97.48316192626952
2015-09-15,98.63165283203124
2015-09-16,99.18736267089844
2015-09-17,99.22444915771484
2015-09-18,97.81314086914062
2015-09-21,98.11956024169922
2015-09-22,96.65257263183594
2015-09-23,96.72686004638672
2015-09-24,96.37405395507812
2015-09-25,95.55699920654295
2015-09-28,92.83661651611328
2015-09-29,92.3538055419922
2015-09-30,94.48001861572266
2015-10-01,94.9071044921875
2015-10-02,96.56902313232422
2015-10-05,97.95243072509766
2015-10-06,97.48818969726562
2015-10-07,98.07313537597656
2015-10-08,98.46309661865234
2015-10-09,98.90872192382812
2015-10-12,99.15013885498048
2015-10-13,98.5094757080078
2015-10-14,98.3516845703125
2015-10-15,99.9671630859375
2015-10-16,100.3849868774414
2015-10-19,100.96061706542967
2015-10-20,100.44068145751952
2015-10-21,99.82791137695312
2015-10-22,101.86121368408205
2015-10-23,104.71163940429688
2015-10-26,104.77659606933594
2015-10-27,104.9901351928711
2015-10-28,105.86289978027344
2015-10-29,105.69578552246094
2015-10-30,105.22229766845705
2015-11-02,106.4106903076172
2015-11-03,106.78206634521484
2015-11-04,106.79136657714844
2015-11-05,106.50353240966795
2015-11-06,106.57782745361328
2015-11-09,105.4450912475586
2015-11-10,105.1758041381836
2015-11-11,105.04586791992188
2015-11-12,104.02454376220705
2015-11-13,101.98194122314452
2015-11-16,103.44890594482422
2015-11-17,103.5138702392578
2015-11-18,105.50078582763672
2015-11-19,105.57508850097656
2015-11-20,106.2899932861328
2015-11-23,105.9835968017578
2015-11-24,105.89075469970705
2015-11-25,105.9835968017578
2015-11-27,106.13213348388672
2015-11-30,105.86289978027344
2015-12-01,106.92134857177734
2015-12-02,106.26212310791016
2015-12-03,104.46090698242188
2015-12-04,106.90277862548828
2015-12-07,106.4199676513672
2015-12-08,106.4292449951172
2015-12-09,104.81375122070312
2015-12-10,105.28727722167967
2015-12-11,102.86396026611328
2015-12-14,103.64390563964844
2015-12-15,104.27523040771484
2015-12-16,105.82576751708984
2015-12-17,104.28453063964844
2015-12-18,102.28409576416016
2015-12-21,103.42028045654295
2015-12-22,104.10012817382812
2015-12-23,104.87311553955078
2015-12-24,104.85447692871094
2015-12-28,104.7986068725586
2015-12-29,106.44700622558594
2015-12-30,105.48773193359376
2015-12-31,104.17462158203124
2016-01-04,101.97675323486328
2016-01-05,101.79981994628906
2016-01-06,100.82195281982422
2016-01-07,97.66488647460938
2016-01-08,96.8639678955078
2016-01-11,97.16195678710938
2016-01-12,98.28885650634766
2016-01-13,94.89891052246094
2016-01-14,96.9198226928711
