Date,AVGO
2010-09-16,1.3586302995681765
2010-09-17,1.4143874645233154
2010-09-20,1.4560288190841677
2010-09-21,1.465909123420715
2010-09-22,1.4652031660079956
2010-09-23,1.5054329633712769
2010-09-24,1.5230779647827148
2010-09-27,1.5491915941238403
2010-09-28,1.5738933086395264
2010-09-29,1.5760111808776855
2010-09-30,1.58871591091156
2010-10-01,1.5971843004226685
2010-10-04,1.5745997428894043
2010-10-05,1.5844801664352417
2010-10-06,1.572481989860535
2010-10-07,1.6148293018341064
2010-10-08,1.5668363571166992
2010-10-11,1.5767170190811155
2010-10-12,1.5541316270828247
2010-10-13,1.5527209043502808
2010-10-14,1.5823633670806885
2010-10-15,1.6014187335968018
2010-10-18,1.6049479246139526
2010-10-19,1.5802462100982666
2010-10-20,1.559778094291687
