Date,ORCL
2010-09-29,22.07740592956543
2010-09-30,21.817380905151367
2010-10-01,22.13428497314453
2010-10-04,21.8981990814209
2010-10-05,22.22382545471191
2010-10-06,22.451763153076172
2010-10-07,22.541316986083984
2010-10-08,22.793670654296875
2010-10-11,22.671560287475582
2010-10-12,22.75296974182129
2010-10-13,23.2821044921875
2010-10-14,23.062305450439453
2010-10-15,23.526321411132812
2010-10-18,23.794958114624023
2010-10-19,23.713560104370117
2010-10-20,23.31467056274414
2010-10-21,23.461198806762695
2010-10-22,23.599584579467773
2010-10-25,23.47747802734375
2010-10-26,23.306529998779297
2010-10-27,23.363510131835938
2010-10-28,23.90079116821289
2010-10-29,23.91706657409668
2010-11-01,23.713560104370117
2010-11-02,24.0391788482666
2010-11-03,23.770538330078125
2010-11-04,23.990337371826172
