Date,SPY
2010-09-29,87.36847686767578
2010-09-30,87.10895538330078
2010-10-01,87.47537231445312
2010-10-04,86.81895446777344
2010-10-05,88.56680297851562
2010-10-06,88.55917358398438
2010-10-07,88.45233154296875
2010-10-08,88.94840240478516
2010-10-11,89.03237915039062
2010-10-12,89.30712890625
2010-10-13,90.00169372558594
2010-10-14,89.65059661865234
2010-10-15,89.83374786376953
2010-10-18,90.2764663696289
2010-10-19,89.09343719482422
2010-10-20,89.96353149414062
2010-10-21,90.1619644165039
2010-10-22,90.32988739013672
2010-10-25,90.59703063964844
2010-10-26,90.61227416992188
2010-10-27,90.3528060913086
2010-10-28,90.36805725097656
2010-10-29,90.43669891357422
2010-11-01,90.46729278564452
2010-11-02,91.18472290039062
2010-11-03,91.5510711669922
2010-11-04,93.31417846679688
2010-11-05,93.66525268554688
2010-11-08,93.4897003173828
2010-11-09,92.8180694580078
2010-11-10,93.19205474853516
2010-11-11,92.84095764160156
2010-11-12,91.74188232421876
2010-11-15,91.61213684082033
2010-11-16,90.1848602294922
2010-11-17,90.23067474365234
2010-11-18,91.55868530273438
2010-11-19,91.8105697631836
2010-11-22,91.7342529296875
2010-11-23,90.40618133544922
2010-11-24,91.74188232421876
2010-11-26,90.67334747314452
2010-11-29,90.9481201171875
2010-11-30,90.43669891357422
2010-12-01,92.360107421875
2010-12-02,93.54315185546876
2010-12-03,93.79500579833984
2010-12-06,93.6957778930664
2010-12-07,93.74919891357422
2010-12-08,94.0926742553711
2010-12-09,94.4590301513672
2010-12-10,95.00856018066406
2010-12-13,95.06961059570312
2010-12-14,95.15357971191406
2010-12-15,94.7185287475586
2010-12-16,95.26807403564452
2010-12-17,95.37012481689452
2010-12-20,95.60028839111328
2010-12-21,96.20641326904295
2010-12-22,96.5056610107422
2010-12-23,96.3675537109375
2010-12-27,96.40591430664062
2010-12-28,96.54403686523438
2010-12-29,96.6130599975586
2010-12-30,96.45960235595705
2010-12-31,96.48263549804688
2011-01-03,97.48008728027344
2011-01-04,97.42636108398438
2011-01-05,97.9327621459961
2011-01-06,97.74095916748048
2011-01-07,97.54912567138672
2011-01-10,97.42636108398438
2011-01-11,97.77162170410156
2011-01-12,98.65398406982422
2011-01-13,98.49284362792967
2011-01-14,99.20643615722656
2011-01-18,99.37521362304688
2011-01-19,98.40081024169922
2011-01-20,98.27033233642578
2011-01-21,98.49284362792967
2011-01-24,99.05296325683594
2011-01-25,99.10665893554688
2011-01-26,99.49028778076172
2011-01-27,99.73583984375
2011-01-28,97.99411010742188
