Date,ret_1d,ret_5d,ret_10d,ret_20d,ret_60d,ret_120d,mom_accel,vol_20d,vol_60d,parkinson_vol,vol_ratio,volume_ratio,volume_change,volume_mom,price_volume_div,rsi,ma5_bias,ma20_bias,ma_alignment,macd,macd_signal,macd_hist,bb_position,atr,amihud,hl_spread,roll_spread,52w_position,from_52w_high,overnight_ret,intraday_ret,gap
2022-09-16,-0.0076287807414475,-0.0478508791320888,-0.0233998438388766,-0.0952258431171919,0.034065528166939,-0.1410983962338531,-0.1681964162575862,0.0156819365185691,0.0136706553935961,0.0044526875957775,1.1471239722650848,1.3077464384027206,0.3438791034444097,1.187283328950278,-0.332577759538755,35.82229695819177,-0.0203522744467711,-0.0372507084604117,-1,-4.124243554695738,-2.513525629711051,-1.6107179249846872,0.1374259284234347,7.356056827277022,3.890768442391809e-13,0.0107376664453068,-0.0,0.218559663919103,-0.1874160759797301,-0.0112835949877412,0.0036965243296922,-0.0112835949877412
2022-09-19,0.0077549735815594,-0.0506701423681059,-0.0053382038735251,-0.0757898364271968,0.0319686773328302,-0.1405508893115561,-0.1442552925560646,0.0157883634460163,0.0136499612374619,0.0043522517397597,1.1566599473327102,0.9265278001329382,0.0580770269275141,1.1935052713152223,0.2591709252123819,40.3058074555568,-0.002239970242824,-0.0259095599056526,-1,-4.373513670868022,-2.885523237942446,-1.4879904329255762,0.2272068595355414,7.475950225189824,3.787835333480917e-13,0.0163942743979227,-0.0,0.2448343498123369,-0.1811145091161531,-0.0085589032423201,0.0164547111040997,-0.0085589032423201
2022-09-20,-0.0114786185195843,-0.0189067779022784,-0.0130316595221863,-0.0669705019693934,-0.0113111249390389,-0.1607978295558834,-0.111918334529257,0.0153918133363005,0.0131071336767906,0.0043298412981705,1.174308107008588,0.9773179111460992,-0.3714784651284983,1.0782968934403387,-0.0213500523695427,40.26930361857539,-0.0099291711213955,-0.0337516503873564,-1,-4.860416472901932,-3.280501884934343,-1.5799145879675889,0.1476938733950966,7.426809022242411,3.650142654174362e-13,0.012809453401718,-0.0,0.205641956646031,-0.1905141832772312,-0.0089821542641508,-0.002519091120483,-0.0089821542641508
2022-09-21,-0.0174436914896681,-0.0396850461747301,-0.0473621076168392,-0.0810227924225346,-0.0248326295215419,-0.1703134585303191,-0.1359231774924947,0.0157076153307302,0.0132893262414869,0.0045963844539967,1.1819722870294045,1.302575624855057,0.2554922921491303,1.0933895933766282,-0.5515938188176982,38.08429607083149,-0.0193147547022599,-0.0466164650554488,-1,-5.69943268545245,-3.764288045037965,-1.9351446404144856,0.0384824734495415,7.821339550644377,3.813235461322811e-13,0.0316118397750792,-0.0,0.1467661832704321,-0.2046346041294053,0.0052592468283003,-0.022584162632275,0.0052592468283003
2022-09-22,-0.0083999413546074,-0.0368161984299815,-0.0614984571834514,-0.0916498007700281,-0.0128538495239729,-0.1644219741275946,-0.123142842691112,0.0156379731463581,0.0130698240879193,0.0044838165654268,1.196494538959606,1.065592157317182,0.0209827714877135,1.0715336703104603,-0.1685353049607191,35.25927451244803,-0.0202690766158948,-0.0500944697223661,-1,-6.534521158049188,-4.318334667640209,-2.2161864904089787,0.023190331137721,7.694355557759309,3.8616255745033353e-13,0.0129869738007301,-0.0,0.1189093381105171,-0.2113156268102025,-0.0021465032556867,-0.0062668899987059,-0.0021465032556867
2022-09-23,-0.0167549125825845,-0.0456739143630806,-0.0913392565394923,-0.1193023025176863,-0.028602197640201,-0.1807439598750485,-0.1523997948924328,0.0152027730138134,0.0132447895446778,0.0044389303059647,1.1478304704299649,1.3976852215461464,0.1868568401937045,1.07183981333261,-0.6863313628558734,34.226075051153956,-0.0277191457118277,-0.0600639501721892,-1,-7.59434052242068,-4.9735358385963035,-2.6208046838243764,-0.0703668803606199,7.676941023411006,3.709952569979134e-13,0.0199211477893396,-0.0,0.0638115218676501,-0.224529964538248,-0.0097270302918904,-0.0070969141899991,-0.0097270302918904
2022-09-26,-0.0098925994250835,-0.0623858529889617,-0.1098948953043612,-0.0974649291579744,-0.0303341412326225,-0.1957384536025445,-0.0812509680189663,0.0137894640677683,0.0132642302130136,0.0037078757743853,1.039597763784241,1.0640283824570451,0.2634155993913631,1.1226795146792468,-0.4466859164822179,33.225223863873936,-0.0248453138856554,-0.0646623016590022,-1,-8.616804838179235,-5.70218963851289,-2.9146151996663443,-0.0457133709677219,7.779994126515776,3.438955716949821e-13,0.0197084700499509,-0.0,0.0318251907234516,-0.2322013789652265,-0.0041852853291839,-0.0057313012268415,-0.0041852853291839
2022-09-27,-0.0025526757226355,-0.0539195816481264,-0.0718069139956,-0.0937765342722379,-0.0429317841383957,-0.1875289238599937,-0.0739599913579136,0.0137947144543769,0.0131877150115748,0.0037788916848163,1.046027643323301,1.214655169996495,0.4014136543690125,1.1652383315807922,0.0473744249705081,25.906891519938355,-0.0164297774994645,-0.0625246177446342,-1,-9.390879172949326,-6.439927545400177,-2.9509516275491485,0.0185219467680836,7.860494946984654,3.341325504728901e-13,0.0262259856107664,-0.0,0.0236531229463254,-0.2341613198650149,0.010183687571508,-0.012607967690274,0.010183687571508
2022-09-28,0.0196762839644253,-0.018177628130914,-0.0571412942939217,-0.0656887899820414,-0.0259397815542786,-0.1631747025326869,-0.0415501657811163,0.014744760526346,0.013443102640346,0.0039299165508793,1.0968271924141553,1.2255017876707677,0.0379927791611161,1.1580031973016491,-0.3603332278371574,30.563039684309743,0.0066616271133726,-0.0408554697970808,-1,-9.342947737037605,-7.020531583727664,-2.3224161533099412,0.1953089384252929,8.06529229223984,3.422643744301485e-13,0.0261786676420519,-0.0,0.0864834561845295,-0.2190924605237383,0.0027518704393916,0.0168779675450694,0.0027518704393916
2022-09-29,-0.020888914711365,-0.0305434537845473,-0.06623515835926,-0.0781915118819884,-0.0494969763594926,-0.1847630209853651,-0.0316961217601701,0.0152403121354049,0.0136918289521531,0.0039151971123442,1.1130954227271668,1.224284187697208,0.2624233564242013,1.1857304806520972,-0.3551476555920628,21.56814121628463,-0.0082067864978992,-0.0571355755368583,-1,-9.791472442445013,-7.574719755471134,-2.216752686973879,0.102906230595819,8.320923232268711,3.555742787109096e-13,0.0204249647730133,-0.0,0.0269195452003377,-0.2354047715133198,-0.0100396197657538,-0.0109593223751479,-0.0100396197657538
